,duration,tree_1_latex,tree_1_parsable,tree_2_latex,tree_2_parsable,prediction,feedback,req_iteration,resp_iteration,problem,run_id
0,2.447479724884033,- x_{10} + x_{12}^{3},"[-, **3, x_12, x_10]","\left(\log{\left(\left|{x_{9}}\right| \right)} - \log{\left(\left|{\frac{x_{3}}{x_{9}}}\right| \right)} + \max\left(x_{6}, x_{9}\right)\right) \log{\left(\left|{\max\left(x_{12} + x_{8}, \log{\left(\left|{x_{4}}\right| \right)}\right)}\right| \right)}","[*, log, max, +, x_8, x_12, log, x_4, -, +, max, x_9, x_6, log, x_9, log, /, x_3, x_9]",-1,-1,0,0,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
1,22.00495719909668,"- \log{\left(\left|{- x_{10} + x_{10} + x_{11}}\right| \right)} + \max\left(- x_{0} x_{1} + x_{7}, \frac{x_{1}}{x_{5}} + x_{11} x_{2}\right)","[-, max, -, x_7, *, x_1, x_0, +, *, x_11, x_2, /, x_1, x_5, log, -, +, x_11, x_10, x_10]","\left(-1.07\right)^{3} \left(\max\left(x_{1} x_{10}, x_{11} + x_{11}\right) + \frac{\max\left(x_{2}, x_{6}\right)}{x_{11} \cdot \frac{1}{x_{12}}}\right)","[*, **3, -1.07, +, max, *, x_10, x_1, +, x_11, x_11, /, max, x_6, x_2, /, x_11, x_12]",1,1,0,2,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
2,4.670494318008423,\log{\left(\left|{\left(\left(x_{10} x_{12}\right)^{3}\right)^{3}}\right| \right)},"[log, **3, **3, *, x_12, x_10]","\max\left(\frac{x_{3}}{0.81}, \max\left(x_{10}, x_{5}\right)^{3}\right)^{3}","[**3, max, /, x_3, 0.81, **3, max, x_5, x_10]",-1,1,2,3,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
3,18.204932928085327,"\frac{\left(x_{6} - x_{9}^{3}\right) \max\left(x_{9}^{3}, \frac{x_{11}}{x_{11}}, x_{0} - x_{10}\right)}{x_{1}}","[*, /, -, max, x_6, x_6, **3, x_9, x_1, max, max, -, x_0, x_10, **3, x_9, /, x_11, x_11]","\log{\left(\left|{\max\left(x_{2}^{3}, x_{8}\right)}\right| \right)}","[log, max, x_8, **3, x_2]",1,1,3,6,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
4,3.548153877258301,"x_{12} + x_{5}^{3} \left(\frac{x_{10}}{x_{3}} - -2.86\right) \max\left(3.44, x_{7}\right) - x_{5}","[+, -, x_12, x_5, *, *, **3, x_5, max, x_7, 3.44, -, /, x_10, x_3, -2.86]",\log{\left(\left|{x_{2}^{3}}\right| \right)},"[log, **3, x_2]",1,1,6,6,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
5,2.981829881668091,x_{9} - \left(\log{\left(\left|{x_{0}}\right| \right)}^{3}\right)^{3},"[-, x_9, **3, **3, log, x_0]",\log{\left(\left|{\log{\left(\left|{\log{\left(\left|{x_{4}}\right| \right)}}\right| \right)}}\right| \right)},"[log, log, log, x_4]",-1,-1,6,7,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
6,4.956119060516357,"\max\left(x_{5}, \log{\left(\left|{x_{8}}\right| \right)}^{3}\right)^{3}","[**3, max, **3, log, x_8, x_5]",\log{\left(\left|{x_{8} \frac{\log{\left(\left|{x_{2}}\right| \right)}}{x_{12}}}\right| \right)},"[log, /, x_8, /, x_12, log, x_2]",1,-1,7,8,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
7,4.597912073135376,\log{\left(\left|{\left(\frac{x_{2}}{x_{1}}\right)^{3} - -4.77}\right| \right)},"[log, -, **3, /, x_2, x_1, -4.77]",\left(\left(x_{1} x_{10} x_{9}\right)^{3}\right)^{3},"[**3, **3, *, x_1, *, x_10, x_9]",-1,-1,8,9,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
8,12.505215406417847,\log{\left(\left|{\left(x_{1} x_{10} x_{10}\right)^{3}}\right| \right)},"[log, **3, *, x_1, *, x_10, x_10]","x_{7}^{3} \max\left(x_{10}, x_{5}, x_{7}\right)^{3}","[*, **3, max, x_7, max, x_10, x_5, **3, x_7]",-1,1,9,11,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
9,1.6151714324951172,\log{\left(\left|{x_{8}^{3}}\right| \right)},"[log, **3, x_8]",\left(\left(\left(x_{5}^{3}\right)^{3}\right)^{3}\right)^{3},"[**3, **3, **3, **3, x_5]",1,-1,11,11,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
10,5.205604553222656,"- (x_{0} + x_{8}) + \left(- x_{2} - 0.99\right)^{3} + \max\left(x_{10}, x_{0} + x_{1}, \log{\left(\left|{x_{5}}\right| \right)}^{3}\right) + \frac{3.04}{x_{9}}","[+, +, -, /, 3.04, x_9, +, x_0, x_8, **3, -, -0.99, x_2, max, max, +, x_1, x_0, x_10, **3, log, x_5]",x_{10} + x_{9}^{3},"[+, x_10, **3, x_9]",1,1,11,12,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
11,6.193795680999756,x_{2} \log{\left(\left|{x_{3} + x_{9} + 2.87}\right| \right)},"[*, log, -, -, -2.87, x_9, x_3, x_2]","x_{9} - \left(- \frac{x_{2}}{\max\left(x_{3}, x_{7}\right)} + \max\left(- x_{2} + x_{2}, \log{\left(\left|{x_{0}}\right| \right)}\right)\right)","[-, x_9, -, max, -, x_2, x_2, log, x_0, /, x_2, max, x_3, x_7]",-1,-1,12,14,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
12,13.217967987060547,"\left(- (- x_{0} + x_{3}^{3}) + \left(x_{3} + x_{8}\right)^{3}\right) \max\left(x_{4}, x_{0} \log{\left(\left|{x_{0}}\right| \right)}, x_{1} + x_{9}\right)","[*, -, **3, +, x_8, x_3, -, **3, x_3, x_0, max, *, log, x_0, x_0, max, +, x_9, x_1, x_4]","\left(\max\left(3.14, x_{3} + x_{7}\right)^{3}\right)^{3}","[**3, **3, max, +, x_7, x_3, 3.14]",1,1,14,16,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
13,3.0647196769714355,\log{\left(\left|{x_{2}}\right| \right)},"[log, x_2]","\log{\left(\max\left(x_{2}, \log{\left(2.49 \right)}\right) \right)}^{3}","[**3, log, max, x_2, log, -2.49]",-1,-1,16,16,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
14,2.983548641204834,"\log{\left(\left|{\left(\max\left(x_{11}, x_{2}\right)^{3}\right)^{3}}\right| \right)}","[log, **3, **3, max, x_2, x_11]","\max\left(x_{5}, \log{\left(\left|{x_{9}}\right| \right)}^{3}\right)^{3}","[**3, max, **3, log, x_9, x_5]",1,1,16,17,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
15,2.678642988204956,\log{\left(\left|{\left(x_{0}^{3}\right)^{3}}\right| \right)}^{3},"[**3, log, **3, **3, x_0]",\log{\left(\left|{x_{3}}\right| \right)}^{3},"[**3, log, x_3]",1,1,17,18,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
16,10.034420251846313,"\max\left(- x_{7}^{3} + \frac{x_{11}}{x_{0}}, \max\left(x_{8}, x_{6} - x_{8}\right) - \max\left(- x_{6} + x_{8}, \log{\left(\left|{x_{4}}\right| \right)}\right), \log{\left(\left|{x_{3}}\right| \right)}\right)","[max, max, log, x_3, -, /, x_11, x_0, **3, x_7, -, max, -, x_6, x_8, x_8, max, -, x_8, x_6, log, x_4]","x_{10} + \max\left(x_{2}, x_{7} \max\left(x_{11}, x_{3}\right)\right)","[+, x_10, max, x_2, *, max, x_11, x_3, x_7]",1,1,18,20,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
17,2.8454501628875732,"\left(x_{0} x_{12}^{3} x_{7} + \frac{x_{0} + x_{0}}{\max\left(x_{0}, x_{6}\right)}\right) \log{\left(0.54 \left|{x_{11}}\right| \right)}","[*, +, *, *, x_0, x_7, **3, x_12, /, +, x_0, x_0, max, x_0, x_6, log, /, x_11, 1.82]",\log{\left(\left|{x_{9}}\right| \right)},"[log, x_9]",1,1,20,21,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
18,2.993338108062744,x_{12} - x_{5} + \log{\left(3.44 \right)},"[+, -, log, 3.44, x_5, x_12]","\left(\frac{x_{2}}{x_{2} - \max\left(x_{0}, x_{7}\right)}\right)^{3}","[**3, /, x_2, -, x_2, max, x_7, x_0]",-1,-1,21,22,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
19,2.3883860111236572,x_{0} + \log{\left(\left|{x_{2}}\right| \right)},"[+, log, x_2, x_0]",x_{2} - x_{5},"[-, x_2, x_5]",-1,1,22,23,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
20,2.309499502182007,x_{3} - \log{\left(\left|{x_{0} + x_{1} - 3.37}\right| \right)},"[-, x_3, log, +, -, x_1, 3.37, x_0]",\frac{x_{12}}{x_{3}} - x_{2} - x_{3} - x_{7} + x_{8} - \left(x_{11} + x_{6}\right),"[+, -, /, x_12, x_3, x_2, -, -, -, x_8, x_7, +, x_11, x_6, x_3]",-1,1,23,24,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
21,2.400758981704712,\left(\left(\log{\left(\left|{x_{0}}\right| \right)}^{3}\right)^{3}\right)^{3},"[**3, **3, **3, log, x_0]",\log{\left(\left|{x_{11}}\right| \right)}^{3},"[**3, log, x_11]",1,1,24,25,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
22,2.75240421295166,\log{\left(\left|{x_{5} - \frac{x_{9}}{x_{11} - x_{9}}}\right| \right)},"[log, -, /, x_9, -, x_11, x_9, x_5]","\max\left(x_{9}, \left(x_{12} - x_{8}\right)^{3}\right)^{3}","[**3, max, **3, -, x_12, x_8, x_9]",-1,-1,25,26,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
23,2.3648881912231445,\log{\left(\left|{\log{\left(\left|{\log{\left(\left|{x_{3}}\right| \right)}}\right| \right)}}\right| \right)}^{3},"[**3, log, log, log, x_3]","\max\left(x_{5}, x_{6}\right)","[max, x_5, x_6]",1,1,26,27,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
24,4.910126209259033,\frac{x_{5}}{\left(-0.07\right) x_{3}},"[/, x_5, *, x_3, -0.07]","\max\left(\left(- x_{0} + x_{0}\right)^{3} \left(x_{2} + x_{2} - -0.84\right), - x_{12}^{3} + \max\left(x_{5}, - x_{2} + x_{3}\right)\right)","[max, -, max, -, x_3, x_2, x_5, **3, x_12, *, +, -, x_2, -0.84, x_2, **3, -, x_0, x_0]",-1,-1,27,29,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
25,3.903869867324829,x_{11}^{3},"[**3, x_11]","x_{7} + \max\left(x_{5}, \log{\left(\left|{x_{12} + x_{5}}\right| \right)}\right)","[+, max, log, +, x_5, x_12, x_5, x_7]",-1,-1,29,30,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
26,2.414691209793091,\left(x_{12} - x_{3}\right)^{3},"[**3, -, x_12, x_3]",\log{\left(\left|{\left(x_{0} + \log{\left(\left|{x_{10}}\right| \right)}\right)^{3}}\right| \right)},"[log, **3, +, log, x_10, x_0]",-1,-1,30,30,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
27,3.501570224761963,"- (- \frac{x_{11} x_{12}}{\max\left(3.79, x_{11}\right)} + x_{7}^{3} + \max\left(x_{1}, x_{8}\right)) + \log{\left(12.16 \left|{\left(0.43 x_{12} + 1\right)^{3}}\right| \right)}","[-, log, **3, -, -2.3, x_12, -, +, max, x_8, x_1, **3, x_7, /, *, x_11, x_12, max, 3.79, x_11]",\left(x_{11} + x_{2}^{3}\right)^{3},"[**3, +, x_11, **3, x_2]",1,1,30,31,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
28,4.220347881317139,"\max\left(-0.84, x_{3}\right)","[max, -0.84, x_3]",x_{3} + \left(\frac{- x_{3} + x_{7}}{x_{9}}\right)^{3},"[+, x_3, **3, /, -, x_7, x_3, x_9]",-1,-1,32,33,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
29,3.5815393924713135,"1.76^{3} x_{12} \max\left(3.44, x_{12}\right) + 1.5^{3}","[+, **3, 1.5, *, *, **3, 1.76, max, x_12, 3.44, x_12]",\log{\left(\left|{\left(\left(x_{1}^{3}\right)^{3}\right)^{3}}\right| \right)},"[log, **3, **3, **3, x_1]",1,-1,33,34,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
30,2.2399966716766357,\log{\left(1.5 \right)},"[log, 1.5]",- x_{3} + x_{5},"[-, x_5, x_3]",-1,1,34,34,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
31,1.9123215675354004,x_{3} - \left(x_{12} + x_{6}\right),"[-, x_3, +, x_6, x_12]",\log{\left(\left|{x_{6}^{3}}\right| \right)},"[log, **3, x_6]",-1,-1,34,35,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
32,4.319931507110596,x_{2} - \left(x_{3} - \left(x_{5} + 1.01\right)\right)^{3},"[-, x_2, **3, -, x_3, +, 1.01, x_5]","\frac{x_{12} + 3.16}{\left(-1\right) 0.58 \left(- x_{10} + x_{10} + x_{6}\right)} + 1.76^{3} \left(\frac{x_{11}}{x_{3}} - -2.86\right) \max\left(3.44, x_{7}\right)","[+, /, /, +, x_12, 3.16, -0.58, +, -, x_6, x_10, x_10, *, *, **3, 1.76, max, x_7, 3.44, -, /, x_11, x_3, -2.86]",-1,-1,35,37,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
33,2.27826189994812,x_{3} - \left(x_{11} + x_{12} - x_{3}\right) - 2.03,"[-, -, x_3, +, -, x_11, x_3, x_12, 2.03]",x_{2} \log{\left(\left|{x_{2} - x_{5}}\right| \right)} + x_{5},"[+, *, log, -, x_5, x_2, x_2, x_5]",1,-1,37,38,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
34,2.5167126655578613,"\max\left(x_{5}, \left(\left(x_{0} x_{12}\right)^{3}\right)^{3}\right)","[max, **3, **3, *, x_12, x_0, x_5]",- x_{12} + x_{2},"[-, x_2, x_12]",1,1,38,38,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
35,2.664823293685913,"\max\left(x_{5}, x_{3} - x_{8}\right)","[max, -, x_3, x_8, x_5]",\left(x_{1} - x_{2}^{3} x_{8}\right)^{3},"[**3, -, x_1, *, **3, x_2, x_8]",-1,-1,38,39,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
36,3.8301875591278076,x_{3}^{3},"[**3, x_3]","\max\left(x_{7}, - x_{12} + \max\left(x_{5}, x_{12} - x_{2}\right)\right)","[max, -, max, -, x_12, x_2, x_5, x_12, x_7]",-1,1,39,41,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
37,3.2982704639434814,"\max\left(x_{5}, x_{3} - \left(x_{12} - x_{6}\right)\right) - 2.87","[+, max, -, x_3, -, x_12, x_6, x_5, -2.87]",\log{\left(\left|{\log{\left(\left|{x_{9}^{3}}\right| \right)}^{3}}\right| \right)},"[log, **3, log, **3, x_9]",-1,-1,41,42,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
38,7.367207288742065,\left(\left(\left(x_{6}^{3}\right)^{3}\right)^{3}\right)^{3},"[**3, **3, **3, **3, x_6]",\left(x_{10}^{3}\right)^{3},"[**3, **3, x_10]",1,1,42,44,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
39,2.309210777282715,\left(x_{0}^{3}\right)^{3} - x_{10},"[-, **3, **3, x_0, x_10]",x_{3} - x_{5} - 2.03,"[-, -, x_3, x_5, 2.03]",1,1,44,45,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
40,3.9477593898773193,"\max\left(x_{5}, - x_{3} + x_{3}\right)","[max, max, -, x_3, x_3, x_5, x_5]",x_{12} - \left(x_{10} - x_{2}\right) - 0.84,"[+, -, -0.84, -, x_10, x_2, x_12]",-1,1,45,46,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
41,3.1125681400299072,- x_{10} + x_{12},"[-, x_12, x_10]",x_{5} - \left(\left(x_{8}^{3}\right)^{3} + 1.5\right),"[-, x_5, +, 1.5, **3, **3, x_8]",-1,-1,46,47,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
42,3.4971110820770264,"\max\left(x_{3}^{3}, \left(x_{10}^{3}\right)^{3} + x_{7}^{3}\right)","[max, **3, x_3, +, **3, x_7, **3, **3, x_10]",\log{\left(\left|{\left(x_{3}^{3}\right)^{3}}\right| \right)}^{3},"[**3, log, **3, **3, x_3]",1,-1,47,48,boston,bb42cccf-5ad3-11ed-9de8-344b50000000
